source_id,global_index,image_url,review_count,valid_count,participant_followup_count,max_anomaly_score,mean_anomaly_score,roles,buckets,evidence_axes,axis_match_count,review_tier,priority_candidate,focus_rendered,quality_tier,quality_score,n_obs,amplitude_completed,rebrightening_completed,nonmono_completed,peak_snr,latest_reason
AT2018jjk,290,http://49.233.162.81:8788/all_sample_gp/AT2018jjk_sample_gp.png,2,2,2,4,4.0,"{""interesting"": 2}","{""new_public_candidate"": 2}","{""amplitude"": 2, ""nonmonotonic"": 1, ""rebrightening"": 1}",1,pool,False,False,B_completed_good,0.61,381,0.44,28,0.45,3.9,r波段15.5-16.5和g波段16.5-17.5均呈密集高频锯齿波动，再亮计数28次极高
AT2018jfk,288,http://49.233.162.81:8788/all_sample_gp/AT2018jfk_sample_gp.png,2,2,2,3,3.0,"{""bridge"": 2}","{""new_public_candidate"": 2}","{""color_separation"": 2, ""nonmonotonic"": 2}",0,pool,False,False,B_completed_good,0.53,331,0.11,0,0.47,1.2,g波段16.7-17.3，r波段16.0-16.5，两波段呈周期性起伏，间距约0.5等，SNR仅1.2偏低
AT2018jin,289,http://49.233.162.81:8788/all_sample_gp/AT2018jin_sample_gp.png,2,2,2,3,3.0,"{""bridge"": 2}","{""new_public_candidate"": 2}","{""nonmonotonic"": 2}",0,pool,False,False,B_completed_good,0.58,107,0.18,0,0.46,2.5,r波段17.5-18.5，g波段17.2-18.0呈现规则锯齿状波动，振幅约0.18等
AT2018maa,417,http://49.233.162.81:8788/all_sample_gp/AT2018maa_sample_gp.png,2,1,1,5,5.0,"{""interesting"": 1}","{""invalid"": 1, ""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""tail_or_plateau"": 1, ""rebrightening"": 1, ""amplitude"": 1}",1,pool,False,False,B_completed_good,0.78,324,1.66,1,0.38,11.1,58200-58300MJD清晰主峰后呈衰减尾，58500MJD二次增亮，振幅大，为高优先级瞬变候选需后续
AT2019igk,895,http://49.233.162.81:8788/all_sample_gp/AT2019igk_sample_gp.png,1,1,1,5,5.0,"{""typical"": 1}","{""new_public_candidate"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.6,550,0.31,1,0.48,3.2,两波段微弱起伏无突增或衰减；可作对照
AT2018kzx,354,http://49.233.162.81:8788/all_sample_gp/AT2018kzx_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""hit_existing_candidate"": 1}","{""rebrightening"": 1, ""peak_or_bump"": 1, ""amplitude"": 1, ""nonmonotonic"": 1, ""tail_or_plateau"": 1}",3,focus,True,True,A_completed_high,0.72,390,0.67,10,0.53,5.7,r波段在MJD 58800-58900从18.0等急剧升至17.0等，振幅达0.67等，特征text显示再亮计数约10次
AT2018dbs,117,http://49.233.162.81:8788/all_sample_gp/AT2018dbs_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1}",3,pool,False,False,A_completed_high,0.88,35,1.21,6,0.64,11.5,r波段从21.25回升至19.5附近，g波段振幅1.2等且多次波动，三波段呈现复杂的非单调变化，再亮计数约6次
AT2018jbk,276,http://49.233.162.81:8788/all_sample_gp/AT2018jbk_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""amplitude"": 1, ""peak_or_bump"": 1}",3,pool,False,False,A_completed_high,0.84,102,1.1,4,0.58,8.6,r波段在MJD58450、MJD58650、MJD58850附近出现三次接近19等的峰值，振幅约1等；g波段在20.5-20.6区间平稳衰减，两波段颜色关系有明显变化
AT2018khf,329,http://49.233.162.81:8788/all_sample_gp/AT2018khf_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""peak_or_bump"": 1, ""nonmonotonic"": 1, ""amplitude"": 1}",3,pool,False,False,A_completed_high,0.81,365,0.82,2,0.5,9.1,g/r双波段均呈三次明显峰形结构，振幅约0.82等，再亮计数2次，365个观测点采样密集，多峰结构远超标准衰减模式
AT2018lsr,399,http://49.233.162.81:8788/all_sample_gp/AT2018lsr_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1}",3,pool,False,False,B_completed_good,0.61,115,0.64,7,0.54,3.8,r band在MJD 58400/58500/58900附近形成三次峰值约18.2等，再亮计数7次，振幅约0.6等，三波段颜色分离
AT2019jsn,961,http://49.233.162.81:8788/all_sample_gp/AT2019jsn_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""amplitude"": 1}",3,pool,False,False,B_completed_good,0.54,30,1.27,6,0.82,4.0,早期两波段一起亮起并快速退下，后面出现多次再亮抬起，像一次短时标能量释放后的衰减过程；先回看峰前基线和尾部散点是否连续
AT2019kse,997,http://49.233.162.81:8788/all_sample_gp/AT2019kse_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""amplitude"": 1, ""nonmonotonic"": 1}",3,pool,False,False,A_completed_high,0.86,295,0.58,7,0.52,7.2,两波段出现多次同步亮起和再亮抬起，类似持续能量释放过程；先回看峰前基线和尾部散点是否连续
AT2018zy,502,http://49.233.162.81:8788/all_sample_gp/AT2018zy_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""hit_existing_candidate"": 1}","{""peak_or_bump"": 1, ""rebrightening"": 1, ""nonmonotonic"": 1, ""amplitude"": 1}",2,focus,True,True,B_completed_good,0.69,954,1.62,2,0.44,12.0,r波段从17.7下降至19.1后反弹至17.8，振幅1.62等，MJD58500-58700区间有再亮特征
AT2018ehi,148,http://49.233.162.81:8788/all_sample_gp/AT2018ehi_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""hit_existing_candidate"": 1}","{""rebrightening"": 1, ""color_separation"": 1, ""amplitude"": 1, ""nonmonotonic"": 1}",2,focus,False,True,B_completed_good,0.79,173,1.84,10,0.44,8.2,g波段从17.5快速衰减至20.0，r波段从18.5衰减至19.5，振幅1.84等，feature_text显示再亮计数约10次，值得追踪
AT2018fua,173,http://49.233.162.81:8788/all_sample_gp/AT2018fua_sample_gp.png,1,1,1,4,4.0,"{""interesting"": 1}","{""hit_existing_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1}",2,priority,True,False,B_completed_good,0.81,298,1.91,8,0.4,13.1,早期r波段17.5-18.2等、g波段18.0-20.0等；后期r波段18.5-19.2等、g波段19.2-20.0等，颜色反转，振幅1.91等，再亮计数8次
